EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
[r--/r--] r-x/r-- (rw-/rw-) r-x/r--
[r--/r--] r--/r-x (rw-/rw-) r--/r-x
[r--/r--] r--/r-- (rw-/rw-) r--/r--
[rwx/--x] rwx/--x (rwx/--x) rwx/--x
[rwx/---] rwx/--- (rwx/--x) rwx/---
[rw-/--x] rw-/--x (rwx/--x) rw-/--x
[rw-/---] rw-/--- (rwx/--x) rw-/---
[rwx/--x] rwx/rwx (rwx/--x) rw-/rwx
[rwx/---] rwx/rw- (rwx/--x) rw-/rw-
[rw-/--x] rw-/rwx (rwx/--x) rw-/rwx
[rw-/---] rw-/rw- (rwx/--x) rw-/rw-
[r-x/--x] r-x/--x (rwx/--x) r-x/--x
[r-x/---] r-x/--- (rwx/--x) r-x/---
[r--/--x] r--/--x (rwx/--x) r--/--x
[r--/---] r--/--- (rwx/--x) r--/---
[r-x/--x] r-x/r-x (rwx/--x) r-x/r-x
[r-x/---] r-x/r-- (rwx/--x) r-x/r--
[r--/--x] r--/r-x (rwx/--x) r--/r-x
[r--/---] r--/r-- (rwx/--x) r--/r--
[rwx/---] rwx/--x (rwx/---) rwx/--x
[rwx/---] rwx/--- (rwx/---) rwx/---
[rw-/---] rw-/--x (rwx/---) rw-/--x
[rw-/---] rw-/--- (rwx/---) rw-/---
[rwx/---] rwx/rwx (rwx/---) rw-/rwx
[rwx/---] rwx/rw- (rwx/---) rw-/rw-
[rw-/---] rw-/rwx (rwx/---) rw-/rwx
[rw-/---] rw-/rw- (rwx/---) rw-/rw-
[r-x/---] r-x/--x (rwx/---) r-x/--x
[r-x/---] r-x/--- (rwx/---) r-x/---
[r--/---] r--/--x (rwx/---) r--/--x
[r--/---] r--/--- (rwx/---) r--/---
[r-x/---] r-x/r-x (rwx/---) r-x/r-x
[r-x/---] r-x/r-- (rwx/---) r-x/r--
[r--/---] r--/r-x (rwx/---) r--/r-x
[r--/---] r--/r-- (rwx/---) r--/r--
[rw-/--x] rwx/--x (rw-/--x) rwx/--x
[rw-/---] rwx/--- (rw-/--x) rwx/---
[rw-/--x] rw-/--x (rw-/--x) rw-/--x
