EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
[r--/r--] r-x/r-- (r--/r-x) r-x/r--
[r--/r-x] r--/r-x (r--/r-x) r--/r-x
[r--/r--] r--/r-- (r--/r-x) r--/r--
[r--/---] rwx/--x (r--/r--) -wx/--x
[r--/---] rwx/--- (r--/r--) rwx/---
[r--/---] rw-/--x (r--/r--) -w-/--x
[r--/---] rw-/--- (r--/r--) rw-/---
[r--/r--] rwx/rwx (r--/r--) rw-/rwx
[r--/r--] rwx/rw- (r--/r--) rw-/rw-
[r--/r--] rw-/rwx (r--/r--) rw-/rwx
[r--/r--] rw-/rw- (r--/r--) rw-/rw-
[r--/---] r-x/--x (r--/r--) --x/--x
[r--/---] r-x/--- (r--/r--) r-x/---
[r--/---] r--/--x (r--/r--) ---/--x
[r--/---] r--/--- (r--/r--) r--/---
[r--/r--] r-x/r-x (r--/r--) r-x/r-x
[r--/r--] r-x/r-- (r--/r--) r-x/r--
[r--/r--] r--/r-x (r--/r--) r--/r-x
[r--/r--] r--/r-- (r--/r--) r--/r--
[--x/--x] rwx/--x (r-x/--x) -wx/--x
[r-x/---] rwx/--- (r-x/--x) rwx/---
[---/--x] rw-/--x (r-x/--x) -w-/--x
[r--/---] rw-/--- (r-x/--x) rw-/---
[--x/--x] rwx/rwx (r-x/--x) rw-/rwx
[r-x/---] rwx/rw- (r-x/--x) rw-/rw-
[---/--x] rw-/rwx (r-x/--x) rw-/rwx
[r--/---] rw-/rw- (r-x/--x) rw-/rw-
[--x/--x] r-x/--x (r-x/--x) --x/--x
[r-x/---] r-x/--- (r-x/--x) r-x/---
[---/--x] r--/--x (r-x/--x) ---/--x
